key	title	year	authors	url	v1_decision	v1_reason	doi
rayyan-641977850	Contactless Oxygen Monitoring with Gated Transformer	2022	Hao He and Yuan Yuan and Ying-Cong Chen and Peng Cao and Dina Katabi	http://arxiv.org/abs/2212.03357v1	Exclude	EC-I	
rayyan-641977851	LG-Sleep: Local and Global Temporal Dependencies for Mice Sleep Scoring	2024	Shadi Sartipi and Mie Andersen and Natalie Hauglund and Celia Kjaerby and Verena Untiet and Maiken Nedergaard and Mujdat Cetin	http://arxiv.org/abs/2412.15412v1	Exclude	EC-I	
rayyan-641977852	Clustering and Data Augmentation to Improve Accuracy of Sleep Assessment and Sleep Individuality Analysis	2024	Shintaro Tamai and Masayuki Numao and Ken-ichi Fukui	http://arxiv.org/abs/2404.10299v2	Include	IC-P, IC-I, IC-O	
rayyan-641977853	TILES-2018 Sleep Benchmark Dataset: A Longitudinal Wearable Sleep Data Set of Hospital Workers for Modeling and Understanding Sleep Behaviors	2025	Tiantian Feng and Brandon M Booth and Karel Mundnich and Emily Zhou and Benjamin Girault and Kristina Lerman and Shrikanth Narayanan	http://arxiv.org/abs/2507.03520v1	Exclude	EC-I	
rayyan-641977854	Pretraining on Sleep Data Improves non-Sleep Biosignal Tasks	2026	William Lehn-Schiøler and Magnus Ruud Kjær and Phillip Hempel and Magnus Guldberg Pedersen and Rahul Thapa and Bryan He and Nicolai Spicher and Andreas Brink-Kjaer and Lars Kai Hansen and Emmanuel Mignot	http://arxiv.org/abs/2605.02500v1	Exclude	EC-I	
rayyan-641977855	Multimodal Sleep Stage and Sleep Apnea Classification Using Vision Transformer: A Multitask Explainable Learning Approach	2025	Kianoosh Kazemi and Iman Azimi and Michelle Khine and Rami N. Khayat and Amir M. Rahmani and Pasi Liljeberg	http://arxiv.org/abs/2502.17486v1	Exclude	EC-I	
rayyan-641977856	Sleep syndromes onset detection based on automatic sleep staging algorithm	2021	Tim Cvetko and Tinkara Robek	http://arxiv.org/abs/2107.03387v1	Exclude	EC-I	
rayyan-641977857	Continuous Sleep Depth Index Annotation with Deep Learning Yields Novel Digital Biomarkers for Sleep Health	2024	Songchi Zhou and Ge Song and Haoqi Sun and Yue Leng and M. Brandon Westover and Shenda Hong	http://arxiv.org/abs/2407.04753v2	Include	IC-P, IC-C, IC-O	
rayyan-641977858	Stanford Sleep Bench: Evaluating Polysomnography Pre-training Methods for Sleep Foundation Models	2025	Magnus Ruud Kjaer and Rahul Thapa and Gauri Ganjoo and Hyatt Moore and Poul Joergen Jennum and Brandon M. Westover and James Zou and Emmanuel Mignot and Bryan He and Andreas Brink-Kjaer	http://arxiv.org/abs/2512.09591v1	Include	IC-P, IC-C	
rayyan-641977859	A Systematic Review on Sleep Stage Classification and Sleep Disorder Detection Using Artificial Intelligence	2024	Tayab Uddin Wara and Ababil Hossain Fahad and Adri Shankar Das and Md. Mehedi Hasan Shawon	http://arxiv.org/abs/2405.11008v3	Include	IC-P, IC-O, IC-Y	
rayyan-641977860	Personalised recommendations of sleep behaviour with neural networks using sleep diaries captured in Sleepio	2022	Alejo Nevado-Holgado and Colin Espie and Maria Liakata and Alasdair Henry and Jenny Gu and Niall Taylor and Kate Saunders and Tom Walker and Chris Miller	http://arxiv.org/abs/2208.00033v1	Exclude	EC-I	
