title,year,authors,url,v1_decision,v1_reason,doi,v2_decision,v2_reason
"Combining a wireless radar sleep monitoring device with deep machine learning techniques to assess obstructive sleep apnea severity","2024","SY Lin; CY Tsai; A Majumdar; YH Ho","https://pmc.ncbi.nlm.nih.gov/articles/PMC11294131/pdf/jcsm.11136.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","10.5664/jcsm.11136","Include","IC-Y, IC-P, IC-I, IC-C, IC-O"
"Recent advances in wearable sensors and portable electronics for sleep monitoring","2021","S Kwon; H Kim; WH Yeo","https://www.cell.com/iscience/pdf/S2589-0042(21)00429-6.pdf","exclude","EC-O","","",""
"Apneadetector: Detecting sleep apnea with smartwatches","2021","X Chen; Y Xiao; Y Tang","https://dl.acm.org/doi/pdf/10.1145/3463514","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","10.1145/3463514","Include","IC-I"
"Comparative study of a wearable intelligent sleep monitor and polysomnography monitor for the diagnosis of obstructive sleep apnea","2023","Y Xu; Q Ou; Y Cheng; M Lao; G Pei","https://link.springer.com/content/pdf/10.1007/s11325-022-02599-x.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-C","10.1007/s11325-022-02599-x","Exclude","EC-I"
"Remote sleep monitoring and 5G","2021","BL Radhakrishnan; E Kirubakaran; V Ebenezer","https://www.researchgate.net/profile/Radhakrishnan-Bl/publication/355730435_Remote_Sleep_Monitoring_and_5G/links/6295ba861117461e03ace48d/Remote-Sleep-Monitoring-and-5G.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I","10.1007/978-3-030-79766-9_11","Exclude","EC-E"
"Remote monitoring of patients with obstructive sleep apnea syndrome treated with CPAP: a feasibility study","2025","A Hediger-Parolini; F Charbonnier; S Grandin","https://www.frontiersin.org/journals/sleep/articles/10.3389/frsle.2025.1601389/pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-C","10.3389/frsle.2025.1601389/full","Exclude","EC-I"
"Roles and features of smart control and sensing applications for sleep quality improvement: a scoping review","2025","X Bai; Y Liu; J Ma; F Wu; Z Dai; Y Chen; P Fang","https://bmjopen.bmj.com/content/bmjopen/15/8/e099831.full.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-D"
"Wearable sensors and artificial intelligence for sleep apnea detection: A systematic review","2025","A Osa-Sanchez; J Ramos-Martinez-de-Soria","https://link.springer.com/content/pdf/10.1007/s10916-025-02199-8.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I","10.1007/s10916-025-02199-8","Exclude","EC-E, EC-N"
"Smart mandibular advancement devices for obstructive sleep apnea: a systematic literature review","2024","J Yang; BRAM Rosenmöller; TCT van Riet; ML Tan","https://link.springer.com/content/pdf/10.1007/s11325-024-03068-3.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","10.1007/s11325-024-03068-3","Exclude","EC-E, EC-N"
"Wearable sensor design for real-time obstructive sleep apnea monitoring","2025","D Jacob; P Kokil; S Suriyan; T Jayanthi","https://ieeexplore.ieee.org/abstract/document/10965851/","exclude","EC-I; EC-O","","",""
